,,单词,翻译,出现次数
,0,more,adv.更，更多;达到或处于更大的范围或程度;此外，更加;adj.更多的;（many）的比较级;附加的，额外的;pron.更多的或附加的人或事物;n.更多;附加，添加;,838
,1,from,prep.（表示时间）从…;（表示原因）因为;（表示来源）来自…;（表示分离）与…分离[隔开];,818
,2,will,n.愿意;意志（力）;[法]遗嘱;vt.决心要;将（财产等）遗赠某人;用意志力驱使（某事发生）;vi.愿意， 希望， 想要;aux.将，将会;会，要;,809
1,3,passage,n.（文章的）一段;经过;通路，通道;旅程，行程;,804
,4,people,n.人，人类;居民;人民;种族;vt.居住于，布满;使住满人，在…殖民;把动物放养在;,736
,5,can,aux.能;能够;可以;可能;vt.将…装入密封罐中保存;n.罐头;（用金属或塑料制作的）容器;（马口铁或其他金属制作的）食品罐头;,693
,6,there,"adv.在那里;那里;在那一点上;pron.表示某物或某人的存在或某事的发生（常用作be, seem或appear的主语）;int.（表示满足、烦恼）你瞧，好啦，得啦;",519
,7,questions,n.询问，疑问，问题;问题( question的名词复数 );疑问;怀疑;议题;v.问（某人）问题( question的第三人称单数 );对（某事物）表示[感到]怀疑;,505
,8,do,aux.构成疑问句和否定句;代替动词;用于加强语气;vt.做;干;进行;从事;vi.表现;进展;引起;行过;n.社交聚会;社交活动;宴会;,498
,9,than,conj.比（用于比较级）;宁愿…而不愿;除…以外;一…就;prep.超过;比;,497
,10,should,应该； 将会； 可能； 本应,405
,11,just,adv.刚才;仅仅，只是;正好;刚要;adj.公正的，合理的;恰当的;合法的;正确的;,405
,12,section,n.部分;节;部件;部门;vi.切开;切断;做（动物或植物组织）切片;把（精神病患者）正式送入精神病院;vt.把…切成片（或段）;作…的切片;把…作成截面;制作…的剖面图;,395
,13,based,adj.有根基的;有基地的;v.立基于;以…为基础(base的过去式和过去分词);,388
,14,part,n.部分;零件;参加;地区;vt.使分裂;拆移;使分开;vi.分开;分离;分岔;adv.不完全地，部分地;adj.不完全的，部分的;,371
,15,up,adv.在上面，在高处;起床，起来;向上;由低到高;adj.向上的;上升的;竖立的，垂直的;举起的;vt.& vi.增加;加速;提高;举起，拿起;prep.在…的上端;向高处;沿…而去;向…上游;n.上升，升高;兴旺，繁荣;上坡;（价格等）上涨;,360
,16,students,n.学生，大学生( student的名词复数 );研究者;中学生;,345
,17,answer,vt.& vi.答复; 解答; 答辩;适应;n.回答;答案;反应;足以媲美的人;,334
,18,does,conj.做，有用，工作;v.做( do的第三人称单数 );干;学习;研究;n.雌鹿（或雌兔、雌羚羊等）( doe的名词复数 );,320
,19,work,vt.& vi.使工作;使运作;操作;使产生效果;n.工作，操作;著作;工厂;行为，事业;vt.使工作;操作;经营;使缓慢前进;,313
,20,so,adv.这样;很;（表示程度）这么;同样;conj.（表示因果关系）因此;（表示目的）为了;（引出下文）;（认为某事无关紧要，尤用于反驳他人的指责时）（口语）;pron.如此;这样;大约;左右;int.[表示同意、赞成等] 好啦，就这样吧！停下！（停住）别动！;[表示惊讶、冷淡等] 哦;真的吗;adj.真的;事实如此的;如此的;整齐的;,299
,21,how,adv.怎样;健康状况如何;到何种地步;以任何方式;n.方法;方式;,299
,22,may,aux.可以;也许;会;但愿;n.[May]五月;山楂属植物;（五朔节装饰用的）绿枝花枝;（春天开花的）绣线菊属植物;,293
,23,most,adv.最，最多（大）;much的最高级;非常，很;几乎;adj.many的最高级;最多的，最大的;大概的;大多数的，大部分的;n.最大限度;大部分;大多数人;,281
,24,life,n.生活，生计;生命，性命;一生，寿命;人生，尘世;,278
,25,food,n.食物，食品;粮食;养料;资料;,268
,26,only,adj.唯一的;仅有的;最好的，最适当的;adv.只，仅仅;结果却，不料;conj.但是，可是;要不是;,268
,27,directions,n.direction的复数形式;方面( direction的名词复数 );方向;指南;（电影导演的）指点;,267
,28,get,vt.得到;抓住;说服;受到（惩罚等）;vt.& vi.到达，来;vi.成为;开始;设法对付;获得利益或财富;n.生殖，幼兽;赢利;,259
,29,like,vt.喜欢;（与 would 或 should 连用表示客气）想;想要;喜欢做;prep.（表示属性）像;（表示方式）如同;（询问意见）…怎么样;（表示列举）比如;adj.相似的;相同的;n.相类似的人[事物];喜好;爱好;（尤指被视为没有某人或某物那么好的）种类，类型;conj.像…一样;如同;好像;仿佛;adv.（非正式口语，代替 as）和…一样;如;（非正式口语，思考说下句话、解释或举例时用）大概;可能;,257
,30,make,vt.做，制造;生产，制定;使成为;使产生;vi.开始;尝试;行进;增大;n.制造;生产量;性格;形状，样式;,254
,31,through,prep.通过，穿过;经由;透过;凭借;adv.从头到尾;彻底;自始至终;adj.（电话）接通;通话完毕;有洞的;直达的;,252
1,32,heard,v.听到，听见( hear的过去式和过去分词 );听说;得知;听取;,250
,33,good,adj.好的;优秀的;有益的;漂亮的，健全的;n.好处，利益;善良;善行;好人;adv.同well;,245
,34,world,n.世界;地球;领域;尘世;,242
,35,been,v.用来表示某人或某物即主语本身，用来表示某人或某物属于某一群体或有某种性质（ be的过去分词 ）;在，存在;不受干扰;去过了;be的过去分词;,240
1,36,would,aux.将，将要;愿意;会，打算;大概;v.(will 的过去式，用于转述)将;,237
,37,man,n.男人;人类;男子汉;雇工;vt.使振作;操纵;给…配置人员;在…就位;int.（表示惊讶、气愤等）嘿，天哪;,237
,38,had,v.有（ have的过去式和过去分词 ）;（亲属关系中）接受;拿;买到;,235
,39,letter,n.信;证书，许可证;字母，文字;字面意义;vt.用字母标明;写字母于;加标题;vi.写印刷体字母;,220
,40,children,n.孩子们(child的复数);儿童;膝下;孥;,219
,41,over,prep.（表示方向）越过;（部份或全部覆盖）在…上面;由于;（表示论及）关于;adv.结束;再;（倒）下;从一边至另一边;adj.过去的;外面的;在上的;上级的;n.额外;剩余;剩余（或多余）的量;剩余物;int.[电信学]报文完，请回复！;vt.走过，跳过;[美国方言]从…恢复过来;,211
,42,minutes,n.[法] 备忘录，会议记录，审判记录;分( minute的名词复数 );分钟;瞬间;片刻;,210
,43,first,n.第一，最初;头等;一号，;[乐]高音部;adv.最早，最初;首次;宁愿;优先;adj.第一流的;最初的，最早的;基本的，概要的;高音的;num.第一;,210
,44,read,vt.& vi.阅读，朗读;显示;研究;看得懂;vt.显示;阅读;读懂，理解;n.阅读;读物;读书;里德（人名）;adj.被朗读的;博识的;博览的;有学问的;,208
,45,question,n.问题;疑问;怀疑;议题;vt.问（某人）问题;对（某事物）表示[感到]怀疑;,208
,46,choices,n.选择( choice的名词复数 );挑选;供选择的东西;入选者;,203
,47,years,n.年( year的名词复数 );年纪;一年的期间;某年级的学生;,202
,48,best,adj.最好的( good和well的最高级);最愉快的;最幸福的;最合适的;adv.最好地;最出色地;最高标准地;n.佼佼者;（个人的）最高水平;最重要的优越性;最好的东西，最合乎要求的事物;vt.[口]打败，胜过;,193
,49,hear,vt.& vi.听到，听见;vt.听说;得知;听取;审理;vi.听;听见;,192
,50,said,adj.[律]上述的;少说为妙;（做）某事有/没有很多优点（或好处）：某事物有/没有多少可说的;说到底;v.说，讲( say的过去式和过去分词 );表明;念;说明;,190
,51,well,adv.好;很;好意地;高高兴兴地;adj.健康的;井的;良好的;恰当的;int.（用于表示惊讶，疑虑，接受等）;n.泉;源泉;水井;vi.（液体）涌出;流出;涌流;涌上;vt.涌出，喷出;,190
,52,way,n.道路;方法;方向;某方面;adv.远远地，大大地;,189
,53,sheet,n.纸;被单;一张（通常指标准尺寸的纸）;一大片（覆盖物）;表格;vt.用（床单等）包裹;用（床单等）掩盖;用缭绳调节（或固定）;给…铺床单;vi.成片展开，成片流动;adj.（金属材料）制成薄板（或薄片）的，扎制成片的，片状的;,188
,54,because,conj.因为;,187
,55,conversation,n.交谈，会话;交往，交际;会谈;（人与计算机的）人机对话;,186
,56,after,prep.…后的;（表示时间）在…以后;（表示位置、顺序）在…后面;conj.在…以后;adv.以后，继后;adj.后来的，以后的;,185
,57,words,n.字( word的名词复数 );（说的）话;诺言;口令;,184
,58,information,n.信息，数据;通知;消息;知识;,183
,59,take,vt.拿，取;采取;接受（礼物等）;耗费（时间等）;vi.拿;获得;n.镜头;看法;收入额;场景;,181
,60,use,n.使用;使用权;功能;,179
,61,now,adv.现在;其时;立刻;（改变话题或要对方做某事前，引起对方注意）喂;adj.现在的;当今的;现任的;n.现在;目前;目前;conj.由于;既然;,177
,62,long,adj.长的;长时间的;冗长的，过长的;长音的;adv.长久地;始终;遥远地;n.长时间，长时期;[语]长音节;（服装的）长尺寸;长裤;vi.渴望，极想;,175
,63,could,aux.“can”的过去式;能够，打算;用于假设语气的条件句;用于虚拟语气的结论句;,172
,64,year,n.年;年纪;一年的期间;某年级的学生;,170
,65,say,vi.说， 讲;表明，宣称;假设;约莫;vt.表明;念;说明;比方说;n.发言权;说话;要说的话;发言权;,170
,66,then,adv.那时;然后;那么;话说回来;adj.当时的;那时的;,170
,67,job,n.（一件）工作;职责;职业;（作为一个单元处理的）作业;vt.承包;代客买卖;vi.做零工;作包工;打杂;,169
,68,once,adv.一次，一趟;一倍;曾经;一旦;conj.一旦…就…;一经;n.一次，一回;,168
,69,why,adv.（用于问句）为什么;为何;（反问，表示不必）何必;（说明理由）为什么;int.呵唷，哎呀，嗨;n.理由;原因;说明;难解的问题;,168
,70,woman,n.女人，妇女;成年女子;女拥人或女下属;女人本能;,168
,71,need,vt.需要;必须;aux.必须;不得不;n.需要;需要的东西;责任;贫穷;vi.（表示应该或不得不做）有必要;,166
,72,school,n.学校;上学;学院;群;vt.训练，锻炼;教育，教导;约束;给…上学;,164
,73,very,adj.很，非常;恰好是，正是;十足的;特有的;adv.很，非常;充分，完全;,164
1,74,even,adv.甚至;更加; 即使;恰巧在…时候;adj.公平的;平坦的; 偶数的;平均的;vt.使平坦;使相等;vi.变平;成为相等;,163
,75,line,n.线条;排;行列;界线;vt.排队;用线标出;沿…排列成行;给…安衬里;vi.形成一层;排队;击出平直球;,162
,76,help,vt.& vi.帮助;有助于， 有利于;vt.治疗;避免;招待（客人）;给…盛（饭、菜）;n.帮助;助手;补救办法;有用;vi.（在餐桌旁）招待，侍应，作仆人（或店员、服务员等）;int.[呼救语]救命！;,162
